pedido_id,cliente_id,fecha_pedido,fecha_entrega,estado,total
1,131,2023-04-29,2023-05-18,entregado,838.49
2,182,2024-03-22,2024-04-21,pendiente,668.52
3,160,2023-11-18,2023-11-22,entregado,995.53
4,179,2023-10-30,2023-11-06,entregado,7185.3
5,78,2024-02-20,2026-02-20,entregado,5352.44
6,149,2024-09-13,2024-09-28,entregado,532.22
7,189,2023-06-23,2023-07-03,entregado,1001.1
8,58,2023-07-23,2023-07-25,enviado,482.78
9,197,2023-03-16,2023-04-14,entregado,7184.32
10,38,2024-11-02,2024-12-01,entregado,96.92
11,57,2023-06-30,2023-07-23,entregado,1749.66
12,117,2023-05-17,2023-06-08,entregado,1024.39
13,185,2024-05-31,2024-06-30,entregado,5872.33
14,193,2023-09-11,2023-09-20,entregado,1566.32
15,183,2023-10-20,2023-10-31,enviado,401.69
16,39,2023-08-25,2023-08-30,entregado,2779.77
17,120,2024-03-01,2024-03-28,pendiente,2596.13
18,98,2024-05-03,2024-05-15,pendiente,2027.39
19,192,2024-07-13,2024-08-11,entregado,804.64
20,70,2024-03-22,2024-04-04,entregado,1994.62
21,33,2024-09-29,2024-10-29,entregado,951.22
22,165,2024-03-14,2024-03-29,enviado,148.55
23,98,2023-12-02,2023-12-13,enviado,1757.09
24,65,2023-03-25,2023-04-18,entregado,1430.03
25,194,2023-02-01,2023-02-08,cancelado,79.9
26,40,2023-09-02,2023-09-24,enviado,5632.5
27,56,2024-04-21,2024-05-16,entregado,1297.1
28,192,2023-04-28,2023-05-04,entregado,1940.67
29,80,2024-08-12,2024-08-25,entregado,429.03
30,27,2023-11-05,2023-11-25,entregado,290.9
31,11,2023-12-22,2024-01-13,entregado,2877.95
32,4,2024-03-06,2024-03-10,entregado,1934.9
33,46,2024-06-18,2024-06-27,cancelado,3148.86
34,69,2023-11-27,2023-12-24,entregado,1089.03
35,116,2023-09-07,2023-09-26,entregado,769.52
36,47,2024-05-14,2024-06-09,enviado,1317.49
37,180,2023-10-10,2023-10-27,entregado,101.0
38,185,2024-02-21,2024-03-17,entregado,179.44
39,115,2023-01-18,2023-01-26,pendiente,3555.52
40,122,2024-07-20,2024-08-03,entregado,4654.22
