linea_id,pedido_id,producto_id,cantidad,precio_unitario
1,1,28,3,284.09
2,1,36,3,44.59
3,2,37,5,6.16
4,3,13,5,17.78
5,3,40,5,52.29
6,3,10,1,25.89
7,3,48,5,55.94
8,3,32,4,68.52
9,3,29,2,59.59
10,4,7,1,762.1
11,4,49,1,106.58
12,4,12,2,78.58
13,4,5,5,624.19
14,4,13,2,17.78
15,4,32,3,68.52
16,5,43,4,102.37
17,5,30,2,9.41
18,5,7,5,762.1
19,5,20,3,264.25
20,5,29,2,59.59
21,6,50,1,58.93
22,6,41,5,43.16
23,6,39,1,57.62
24,6,24,3,262.83
25,7,14,4,73.56
26,7,16,3,283.25
27,7,23,3,47.46
28,7,43,5,102.37
29,8,45,1,16.43
30,8,50,2,58.93
31,8,37,4,6.16
32,8,24,4,262.83
33,8,49,2,106.58
34,9,22,4,123.28
35,9,38,1,17.5
36,9,3,5,877.26
37,9,15,3,309.79
38,9,45,5,16.43
39,9,8,5,29.39
40,10,38,5,17.5
41,11,38,1,17.5
42,11,46,2,70.17
43,11,37,2,6.16
44,11,23,1,47.46
45,11,3,5,877.26
46,12,29,3,59.59
47,12,47,3,85.13
48,12,8,5,29.39
49,13,44,1,69.64
50,13,5,3,624.19
51,14,48,3,55.94
52,15,36,3,44.59
53,15,38,2,17.5
54,15,42,5,21.23
55,15,27,4,133.54
56,15,39,3,57.62
57,16,4,3,544.81
58,16,35,4,12.84
59,17,45,2,16.43
60,17,17,2,36.01
61,17,22,1,123.28
62,18,44,4,69.64
63,18,17,3,36.01
64,18,27,5,133.54
65,18,31,4,42.7
66,18,21,4,55.46
67,19,25,2,211.78
68,19,24,2,262.83
69,19,36,5,44.59
70,19,31,3,42.7
71,19,27,2,133.54
72,20,13,1,17.78
73,20,15,3,309.79
74,20,5,1,624.19
75,20,9,1,28.39
76,20,46,4,70.17
77,20,2,2,884.84
78,21,8,5,29.39
79,21,45,1,16.43
80,21,44,4,69.64
81,22,33,1,73.85
82,22,13,3,17.78
83,22,26,5,98.45
84,22,48,3,55.94
85,22,34,2,2.1
86,22,23,5,47.46
87,23,15,2,309.79
88,23,19,1,160.98
89,23,18,4,159.56
90,23,33,1,73.85
91,23,14,3,73.56
92,24,9,2,28.39
93,24,6,3,1243.1
94,24,33,2,73.85
95,24,27,2,133.54
96,24,20,4,264.25
97,25,37,4,6.16
98,25,47,1,85.13
99,25,8,2,29.39
100,26,3,3,877.26
101,26,44,2,69.64
102,26,11,5,34.09
103,27,15,2,309.79
104,27,21,4,55.46
105,27,47,4,85.13
106,28,12,3,78.58
107,28,17,3,36.01
108,28,10,1,25.89
109,28,32,5,68.52
110,29,36,3,44.59
111,29,27,5,133.54
112,29,46,3,70.17
113,30,42,4,21.23
114,30,21,3,55.46
115,30,33,1,73.85
116,30,44,1,69.64
117,30,11,1,34.09
118,30,30,5,9.41
119,31,33,2,73.85
120,31,5,5,624.19
121,31,6,2,1243.1
122,31,32,4,68.52
123,31,3,3,877.26
124,32,50,1,58.93
125,32,17,2,36.01
126,32,42,5,21.23
127,32,36,2,44.59
128,32,45,2,16.43
129,32,9,5,28.39
130,33,6,3,1243.1
131,33,28,3,284.09
132,34,17,1,36.01
133,34,40,3,52.29
134,34,2,3,884.84
135,34,4,5,544.81
136,34,1,3,633.18
137,35,40,5,52.29
138,35,27,2,133.54
139,35,23,3,47.46
140,35,32,2,68.52
141,35,30,1,9.41
142,35,44,3,69.64
143,36,30,2,9.41
144,36,12,5,78.58
145,36,19,2,160.98
146,37,50,4,58.93
147,37,38,5,17.5
148,38,30,1,9.41
149,38,18,3,159.56
150,38,1,1,633.18
151,38,22,1,123.28
152,38,41,3,43.16
153,38,7,2,762.1
154,39,3,2,877.26
155,39,24,2,262.83
156,40,34,5,2.1
157,40,30,1,9.41
158,40,50,4,58.93
159,40,39,3,57.62
160,41,50,3,58.93
161,42,14,4,73.56
162,42,40,2,52.29
163,42,31,5,42.7
164,43,20,5,264.25
165,43,37,4,6.16
166,43,29,4,59.59
167,43,15,1,309.79
168,44,38,2,17.5
169,44,7,1,762.1
170,44,48,4,55.94
171,44,37,2,6.16
172,44,6,3,1243.1
173,44,45,1,16.43
174,45,48,3,55.94
175,45,8,2,29.39
176,45,3,3,877.26
177,46,10,4,25.89
178,46,15,2,309.79
179,47,41,2,43.16
180,48,9,5,28.39
181,48,4,5,544.81
182,48,46,5,70.17
183,48,2,1,884.84
184,49,26,4,98.45
185,49,32,1,68.52
186,49,40,1,52.29
187,49,17,3,36.01
188,50,35,5,12.84
189,50,37,4,6.16
190,50,2,5,884.84
191,50,39,2,57.62
192,50,9,5,28.39
193,50,17,3,36.01
194,51,5,3,624.19
195,51,49,3,106.58
196,52,20,3,264.25
197,52,4,2,544.81
198,52,27,1,133.54
199,52,41,3,43.16
200,53,2,2,884.84
201,53,3,5,877.26
202,53,29,3,59.59
203,53,22,2,123.28
204,53,9,1,28.39
205,54,11,2,34.09
206,54,50,2,58.93
207,54,25,1,211.78
208,54,40,2,52.29
209,55,4,2,544.81
210,55,23,4,47.46
211,55,29,2,59.59
212,55,16,3,283.25
213,56,46,2,70.17
214,56,41,3,43.16
215,56,39,1,57.62
216,56,8,2,29.39
217,57,30,4,9.41
218,58,49,2,106.58
219,59,33,1,73.85
220,59,22,3,123.28
221,59,49,5,106.58
222,59,48,2,55.94
223,59,2,2,884.84
224,59,43,3,102.37
225,60,39,1,57.62
226,60,21,1,55.46
227,60,5,5,624.19
228,60,29,4,59.59
229,60,41,2,43.16
230,60,43,1,102.37
231,61,8,3,29.39
232,61,23,2,47.46
233,61,42,5,21.23
234,61,30,3,9.41
235,61,49,3,106.58
236,62,40,3,52.29
237,62,16,1,283.25
238,63,9,2,28.39
239,63,37,5,6.16
